title;duration;certificate;genre;rating;directors;stars
Robin Hood;116 min;PG-13;Action, Adventure;NA;Otto Bathurst;Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson
The Night Comes for Us;121 min;NA;Action, Thriller;7.2;Timo Tjahjanto;Iko Uwais, Julie Estelle, Joe Taslim, Zack Lee
Nobody's Fool;110 min;R;Comedy, Drama;4.5;Tyler Perry;Tika Sumpter, Tiffany Haddish, Missi Pyle, Courtney Henggeler
Ocean's 8;110 min;7;Action, Comedy, Crime;6.2;Gary Ross;Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling
Ralph rompe Internet;112 min;A;Animation, Adventure, Comedy;8.7;Phil Johnston, Rich Moore;John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson
Un lugar tranquilo;90 min;16;Drama, Horror, Mystery;7.6;John Krasinski;Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe
Jurassic World: El reino caído;128 min;12;Action, Adventure, Sci-Fi;6.3;J.A. Bayona;Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith
Black Panther;134 min;12;Action, Adventure, Sci-Fi;7.4;Ryan Coogler;Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira
Hotel Transilvania 3: Unas vacaciones monstruosas;97 min;A;Animation, Adventure, Comedy;6.3;Genndy Tartakovsky;Adam Sandler, Andy Samberg, Selena Gomez, Kevin James
Un pequeño favor;117 min;12;Comedy, Crime, Drama;7.1;Paul Feig;Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells
Smallfoot;96 min;A/i;Animation, Adventure, Comedy;6.8;Karey Kirkpatrick, Jason Reisig;Channing Tatum, James Corden, Zendaya, Common
A ciegas;117 min;NA;Drama, Horror, Sci-Fi;NA;Susanne Bier;Sarah Paulson, Sandra Bullock, Rosa Salazar, Tom Hollander
El rey proscrito;121 min;16;Action, Biography, Drama;7.2;David Mackenzie;Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle
Green Book;130 min;PG-13;Biography, Comedy, Drama;8.0;Peter Farrelly;Linda Cardellini, Viggo Mortensen, Mahershala Ali, Don Stark
Misión Imposible: Fallout;147 min;12;Action, Adventure, Thriller;8.0;Christopher McQuarrie;Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg
El rascacielos;102 min;12;Action, Thriller;5.9;Rawson Marshall Thurber;Dwayne Johnson, Neve Campbell, Chin Han, Roland Møller
Sicario: El día del soldado;122 min;16;Action, Crime, Drama;7.2;Stefano Sollima;Benicio Del Toro, Josh Brolin, Isabela Moner, Jeffrey Donovan
Mentes poderosas;104 min;12;Sci-Fi, Thriller;5.6;Jennifer Yuh Nelson;Amandla Stenberg, Mandy Moore, Bradley Whitford, Harris Dickinson
Crazy Rich Asians;120 min;PG-13;Comedy, Romance;7.4;Jon M. Chu;Constance Wu, Henry Golding, Michelle Yeoh, Gemma Chan
22 de julio;143 min;R;Crime, Drama, History;6.8;Paul Greengrass;Anders Danielsen Lie, Jonas Strand Gravli, Jon Øigarden, Maria Bock
Slender Man;93 min;16;Horror, Mystery, Thriller;3.2;Sylvain White;Joey King, Julia Goldani Telles, Jaz Sinclair, Annalise Basso
La favorita;119 min;R;Biography, Drama;8.1;Yorgos Lanthimos;Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult
Ready Player One;140 min;7;Action, Adventure, Sci-Fi;7.6;Steven Spielberg;Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe
La casa del reloj en la pared;105 min;7;Comedy, Family, Fantasy;6.2;Eli Roth;Jack Black, Cate Blanchett, Owen Vaccaro, Kyle MacLachlan
La primera purga: La noche de las bestias;98 min;18;Action, Horror, Sci-Fi;5.1;Gerard McMurray;Y'lan Noel, Lex Scott Davis, Joivan Wade, Steve Harris
The Old Man & the Gun;93 min;PG-13;Comedy, Crime, Drama;7.4;David Lowery;Robert Redford, Casey Affleck, Sissy Spacek, Danny Glover
Searching...;102 min;12;Drama, Mystery, Thriller;7.8;Aneesh Chaganty;John Cho, Debra Messing, Joseph Lee, Michelle La
Possum;85 min;NA;Drama, Horror, Thriller;5.6;Matthew Holness;Sean Harris, Alun Armstrong, Simon Bubb, Andy Blithe
Slaughterhouse Rulez;104 min;R;Action, Comedy, Fantasy;5.6;Crispian Mills;Margot Robbie, Michael Sheen, Simon Pegg, Asa Butterfield
Sorry to Bother You;111 min;R;Comedy, Fantasy, Sci-Fi;7.1;Boots Riley;Lakeith Stanfield, Tessa Thompson, Jermaine Fowler, Omari Hardwick
Noche de lobos;125 min;16;Adventure, Drama, Horror;5.7;Jeremy Saulnier;Jeffrey Wright, Alexander Skarsgård, James Badge Dale, Riley Keough
Juliet, desnuda;97 min;R;Comedy, Drama, Music;6.8;Jesse Peretz;Chris O'Dowd, Rose Byrne, Kitty O'Beirne, Alex Clatworthy
La casa de Jack;152 min;18;Drama, Horror, Thriller;7.1;Lars von Trier;Matt Dillon, Bruno Ganz, Uma Thurman, Siobhan Fallon Hogan
A-X-L;98 min;PG;Action, Adventure, Family;5.1;Oliver Daly;Becky G, Thomas Jane, Alex Neustaedter, Lou Taylor Pucci
Juego de ladrones: El atraco perfecto;140 min;12;Action, Crime, Drama;7.0;Christian Gudegast;Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent
Noche de juegos;100 min;12;Action, Comedy, Crime;7.0;John Francis Daley, Jonathan Goldstein;Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan
The Scorpion King: Book of Souls;102 min;PG-13;Action, Adventure, Fantasy;4.7;Don Michael Paul;Zach McGowan, Pearl Thusi, Mayling Ng, Nathan Jones
Galveston;91 min;NA;Action, Crime, Drama;6.2;Mélanie Laurent;Ben Foster, Jeffrey Grover, Christopher Amitrano, Mark Hicks
Indivisible;119 min;PG-13;Drama, War;6.7;David G. Evans;Justin Bruening, Sarah Drew, Jason George, Tia Mowry-Hardrict
The Sisters Brothers;121 min;R;Adventure, Comedy, Crime;7.2;Jacques Audiard;John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal, Riz Ahmed
El regreso de Mary Poppins;NA;A;Family, Fantasy, Musical;NA;Rob Marshall;Emily Blunt, Meryl Streep, Colin Firth, Julie Walters
Aniquilación;115 min;16;Adventure, Drama, Horror;6.9;Alex Garland;Natalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong
Spider-Man: Un nuevo universo;NA;NA;Animation, Action, Adventure;NA;Bob Persichetti, Peter Ramsey, Rodney Rothman;Nicolas Cage, Hailee Steinfeld, Liev Schreiber, Mahershala Ali
Leave No Trace;109 min;PG;Drama;7.2;Debra Granik;Thomasin McKenzie, Ben Foster, Jeffery Rifflard, Derek John Drescher
Predator;107 min;16;Action, Adventure, Horror;5.8;Shane Black;Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key
Familia al instante;119 min;PG-13;Comedy;NA;Sean Anders;Mark Wahlberg, Rose Byrne, Isabela Moner, Gustavo Quiroz
Air Strike;120 min;NA;Action, Adventure, Drama;4.0;Xiao Feng;Ye Liu, Bruce Willis, Seung-heon Song, William Wai-Ting Chan
A todos los chicos de los que me enamoré;99 min;7;Drama, Romance;7.4;Susan Johnson;Lana Condor, Noah Centineo, Janel Parrish, Anna Cathcart
Tag;100 min;R;Comedy;6.6;Jeff Tomsic;Jeremy Renner, Ed Helms, Jake Johnson, Jon Hamm
The Guilty;85 min;NA;Crime, Drama, Thriller;7.8;Gustav Möller;Jakob Cedergren, Jessica Dinnage, Omar Shargawi, Johan Olsen
Upgrade;100 min;R;Action, Horror, Sci-Fi;7.6;Leigh Whannell;Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden
Prospect;98 min;NA;Sci-Fi;7.0;Christopher Caldwell, Zeek Earl;Sophie Thatcher, Pedro Pascal, Jay Duplass, Andre Royo
Hotel Artemis;94 min;12;Action, Crime, Drama;6.1;Drew Pearce;Jodie Foster, Sofia Boutella, Dave Bautista, Sterling K. Brown
Escuela para fracasados;111 min;12;Comedy;5.6;Malcolm D. Lee;Tiffany Haddish, Mary Lynn Rajskub, Kevin Hart, Keith David
Baazaar;137 min;NA;Crime, Drama, Thriller;7.1;Gauravv K. Chawla;Radhika Apte, Chitrangda Singh, Saif Ali Khan, Rohan Vinod Mehra
Cold War;88 min;12;Drama, Music, Romance;7.9;Pawel Pawlikowski;Joanna Kulig, Tomasz Kot, Borys Szyc, Agata Kulesza
El candidato;113 min;R;Biography, Drama;6.7;Jason Reitman;Hugh Jackman, Vera Farmiga, J.K. Simmons, Mark O'Brien
Matar o morir. Peppermint;101 min;16;Action, Drama, Thriller;6.6;Pierre Morel;Jennifer Garner, John Gallagher Jr., John Ortiz, Juan Pablo Raba
14 Cameras;90 min;NA;Horror, Thriller;4.4;Seth Fuller, Scott Hussion;Zach Dulin, Kodi Saint Angelo, Neville Archambault, Chelsea Edmundson
Andhadhun;139 min;NA;Comedy, Mystery, Thriller;9.1;Sriram Raghavan;Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan
