title;duration;certificate;genre;rating;directors;stars
The Rainbow Experiment;NA;NA;Drama;7.6;Christina Kallas;Christian Coulson, Francis Benhamou, Kevin Kane, Vandit Bhatt
Teret;98 min;NA;Drama;6.6;Ognjen Glavonic;Leon Lucev, Pavle Cemerikic, Tamara Krcunovic, Ivan Lucev
Furikuri 3;NA;NA;Animation, Action, Comedy;5.9;Katsuyuki Motohiro, Kiyotaka Suzuki, Yutaka Uemura;Erick Abbate, Yutaka Aoyama, Steve Blum, Ray Chase
Rubirosa;NA;NA;Drama, History;5.9;Carlos Moreno, Hugo Rodríguez, Juancho Cardona, Manolo Cardona, Mauricio Lule;Manolo Cardona, Damián Alcázar, Ana Serradilla, Carolina Guerra
Swathanthryam Ardharathriyil;138 min;NA;Action, Crime, Thriller;7.5;Tinu Pappachan;Antony Varghese, Vinayakan, Chemban Vinod Jose, Tito Wilson
Rideshare;99 min;NA;Horror, Thriller;5.3;Tremain Hayhoe;Bradley Laborman, Syd Wilder, Curtis McGann, Caitlin O'Connor
Babes with Blades;96 min;NA;Action, Adventure, Drama;2.0;Cecily Fay;Cecily Fay, Joelle Simpson, Cheryl Burniston, Lauren Okadigbo
El mundo es suyo;NA;16;Comedy;5.3;Alfonso Sánchez;Scott Cleverdon, Mar Saura, Eva Marciel, Alfonso Sánchez
Deadman Standing;92 min;R;Biography, Thriller, Western;NA;Nicholas Barton;C. Thomas Howell, Quinn Lord, Viva Bianca, Luke Arnold
Malibu Horror Story;82 min;NA;Horror, Thriller;8.0;Scott Slone;Tommy Cramer, Jacob Hughes, Veno Miller, Hector Gomez Jr.
Summertime;NA;NA;Drama;8.3;Edward Burns;Lindsey Morgan, Anthony Ramos, Caitlin Stasey, Edward Burns
Fisherman's Friends;NA;NA;Comedy, Drama, Musical;NA;Chris Foggin;Christian Brassington, Tuppence Middleton, James Purefoy, Daniel Mays
Fast Color;100 min;PG-13;Drama, Sci-Fi, Thriller;5.7;Julia Hart;Gugu Mbatha-Raw, David Strathairn, Lorraine Toussaint, Christopher Denham
Ashke;122 min;NA;Drama, Romance;8.1;Amberdeep Singh;Amrinder Gill, Sanjeeda Sheikh, Sarabjit Cheema, Roopi Gill
Mon cochon et moi;95 min;NA;Comedy, Drama;8.9;Frank Dobrin;Gérard Depardieu, Dessy Tenekedjieva, Nadejda Stefanova, Zdravets Zdravchev
Oma maa;108 min;NA;Drama, History, Romance;7.5;Markku Pölönen;Oona Airola, Hannu-Pekka Björkman, Arto Heikkilä, Konsta Laakso
All Styles;87 min;NA;Drama, Family;4.7;Angela Tucker;Dushaunt Fik-Shun Stegall, Keon Motakhaveri, Tetona Jackson, Heather Morris
Rafadan Tayfa Dehliz Macerasi;NA;NA;Animation, Adventure;6.8;NA;Hakan Cosar, Sirin Giobbi, Levent Kol, Yagmur Sergen
Irumbu Thirai;160 min;NA;Action, Thriller;7.8;P.S. Mithran;Vishal, Arjun, Samantha Ruth Prabhu, Delhi Ganesh
Jonaki;90 min;NA;Drama;7.4;Aditya Vikram Sengupta;Ratnabali Bhattacharjee, Lolita Chatterjee, Sumanto Chattopadhyay, Jim Sarbh
Ask for Jane;NA;NA;Drama, History;NA;Rachel Carey;Sarah Ramos, Cody Horn, Alison Wright, Sarah Steele
Unmasked;134 min;NA;Drama;NA;Mostafa Keshvari;Sara Omran, Hani Mefti, Aya Ramadan, Noushin Sefiddashti
53206: Milwaukee;86 min;NA;Drama;NA;Kimberley T. Zulkowski;Charles D. Clark, Trena Penson, Carnelious Gill, MarkAnthony Brisby
Snowblind;NA;NA;Action, Horror;NA;Marcus Alqueres;Karl Urban, Ashley Greene, Forrest Goodluck
High Jack;102 min;NA;Comedy;5.4;Akarsh Khurana;Sumeet Vyas, Mantra Mugdh, Sonnalli Seygall, Boloram Das
Noelle;NA;NA;Drama;NA;David Wall;Luiz Baille, Jean Bates, Sean Patrick Brennan, Curt Dewitz
Ang panahon ng halimaw;234 min;NA;Musical;7.0;Lav Diaz;Piolo Pascual, Shaina Magdayao, Bituin Escalante, Pinky Amador
Troppa grazia;110 min;NA;Comedy, Drama;7.1;Gianni Zanasi;Alba Rohrwacher, Elio Germano, Giuseppe Battiston, Hadas Yaron
Starbright;NA;NA;Fantasy;NA;Francesco Lucente;Elisabeth Röhm, Ted Levine, John Rhys-Davies, Gbenga Akinnagbe
Seule à mon mariage;121 min;NA;Drama;7.0;Marta Bergman;Alina Ioana Serban, Tom Vermeir, Jonas Bloquet, Mitika Samu
Broken Soldier;NA;NA;Drama, Thriller;NA;Matthew Coppola;Mark Kassen, Sophie Turner, Ray Liotta, Ivana Milicevic
Deadtectives;NA;NA;Comedy, Horror;8.1;Tony West;Martha Higareda, Chris Geere, Tina Ivlev, David Newman
Long Lost;NA;NA;Drama, Thriller;8.3;Erik Bloomquist;Adam Weppler, Catherine Corcoran, Nicholas Tucci
SuperGrid;NA;NA;Action;NA;Lowell Dean;Leo Fafard, Marshall Williams, Natalie Krill, Jay Reso
Duke;107 min;NA;Drama;NA;Anthony Gaudioso, James Gaudioso;Carmine Giovinazzo, Hank Harris, Lesley-Ann Brandt, Vanessa Ferlito
Les Salopes or The Naturally Wanton Pleasure of Skin;97 min;NA;Drama;6.5;Renée Beaulieu;Paul Ahmarani, Charlotte Aubin, Pierre-Yves Cardinal, Nathalie Cavezzali
The Truth About Christmas;NA;NA;Comedy, Drama;NA;Jay Karas;Kali Hawk, Damon Dayoub, Michela Cannon, Ali Ghandour
Her Only Choice;90 min;NA;Drama;8.7;Christel Gibson;Jamaal Avery Jr., Christopher Bates, Veronica Blakney, Keith Arthur Bolden
Witch;NA;NA;Thriller;NA;Trevor Hayward;Sean Cronin, Eirini Mo, Leila Kotori, Julian Gamm
His Perfect Obsession;85 min;NA;Thriller;6.0;Alexandre Carrière;Arianne Zucker, Ali Skovbye, Mikael Conde, Deborah Grover
Sofia;80 min;NA;Drama;5.1;Meryem Benm'Barek-Aloïsi;Maha Alemi, Lubna Azabal, Sarah Perles, Faouzi Bensaïdi
Thamizh Padam 2;143 min;NA;Comedy;6.7;C.S. Amudhan;Jiiva, Shiva, Manobala, Nizhalgal Ravi
The Haunted;NA;NA;Horror, Mystery, Thriller;NA;David Holroyd;Nick Bayly, Maggie Daniels, Virginia Denham, Ray MacAllan
The Riot Act;101 min;NA;Thriller;8.3;Devon Parks;Brett Cullen, Connor Price, Brandon Keener, Lauren Sweetser
Farmer of the Year;103 min;NA;Comedy, Drama;8.4;Vince O'Connell, Kathy Swanson;Barry Corbin, Terry Kiser, Mackinlee Waddell, Michelle O'Neill
Føniks;86 min;NA;Drama;7.1;Camilla Strøm Henriksen;Ylva Bjørkaas Thedin, Maria Bonnevie, Sverrir Gudnason, Casper Falck-Løvås
Saint Seiya: Knights of the Zodiac;NA;NA;Animation, Action;NA;Tomasz Baginski;NA
Walk to Vegas;NA;NA;Comedy;NA;Eric Balfour;Vincent Van Patten, Ross McCall, Paul Walter Hauser, Eileen Davidson
Que le diable nous emporte;98 min;NA;Drama;5.9;Jean-Claude Brisseau;Fabienne Babe, Isabelle Prim, Anna Sigalevitch, Fabrice Deville
Icebox;NA;NA;Drama;7.1;Daniel Sawka;Genesis Rodriguez, Anthony Gonzalez, Sarah Minnich, Carrie Lazar
Hello Mr. Billionaire;118 min;NA;Comedy;6.2;Da-Mo Peng, Fei Yan;Teng Shen, Vivian Sung, Lun Ai, Bei-Er Bao
Red 11;NA;NA;Thriller;NA;Robert Rodriguez;Katy Harris, Katherine Willis, Alejandro Rose-Garcia, Roby Attal
Modern Love;NA;NA;Comedy, Drama, Romance;NA;Simon Aitken;Mhairi Calvey, Louise Jameson, Petra Bryant, Adrian Annis
To the Night;102 min;NA;Drama, Romance;6.8;Peter Brunner;Caleb Landry Jones, Eleonore Hendricks, Abbey Lee, Jana McKinnon
Team Albert;NA;NA;Family;3.2;Frederik Meldal Nørgaard;Katrine Bach, Rasmus Botoft, Albert Dyrlund Jensen, Andrea Vagn Jensen
10 Days Before the Wedding;120 min;NA;Comedy, Drama, Musical;9.4;Amr Gamal;Sali Hamada, Khaled Hamdan, Moh'd Nagi, Qassem Rashad
All These Small Moments;NA;NA;Drama;6.7;Melissa Miller Costanzo;Molly Ringwald, Jemima Kirke, Harley Quinn Smith, Brian d'Arcy James
Tu hijo;NA;16;Drama;6.4;Miguel Ángel Vivas;José Coronado, Pol Monen, Ana Wagener, Ester Expósito
Wheely;NA;NA;Animation, Adventure, Comedy;6.2;Yusry Abd Halim;Ogie Banks, Gavin Yap
Gundermann;128 min;NA;Biography, Drama, Music;7.9;Andreas Dresen;Bjarne Mädel, Alexander Scheer, Milan Peschel, Peter Schneider
LasseMajas detektivbyrå - Det första mysteriet;NA;NA;Family;6.4;Josephine Bornebusch;Elvis Suhadolnik Bonesso, Josephine Bornebusch, Linus Carlsson, Fusion Elite All Star Cheerleading
Der Unschuldige;114 min;NA;Drama;5.8;Simon Jaquemet;Judith Hofmann, Christian Kaiser, Anna Tenta, Laura Sophie Winter
L'heure de la sortie;104 min;NA;Thriller;6.7;Sébastien Marnier;Laurent Lafitte, Emmanuelle Bercot, Luàna Bajrami, Victor Bonnel
Green Dolphin;NA;NA;Drama;NA;Christopher Kenneally;Seann William Scott, Shiloh Fernandez, Raquel Castro, Noel Ramos
Outlanders 2018;NA;NA;Action;NA;Antonis Mandranis;Roula Antonopoulou, Spiros Focás, Giannis Mataragas
Yom Adaatou Zouli;94 min;NA;Drama;6.7;Soudade Kaadan;Reham Alkassar, Sawsan Arshid, Samer Ismail, Oweiss Mkhallalati
Teen Drone Stalker;NA;NA;Thriller;5.8;Danny J. Boyle;Taylor Murphy, Melissa Ponzio, Johnny Visotcky, Raleigh Cain
The Divide;NA;NA;Western;7.4;Perry King;Bryan Kaplan, Perry King, Sara Arrington, Levi Kreis
Other Versions of You;NA;NA;Adventure, Fantasy, Romance;8.5;Motke Dapp;Alan Powell, C.J. Perry, Eddie George, Miroslav Barnyashev
Dancing in the Rain;101 min;NA;Drama;8.8;Rudi Aryanto;Dimas Anggara, Bunga Zainal, Deva Mahenra, Christine Hakim
Bad Company;90 min;NA;Action;3.4;Robin Christian;Booboo Stewart, Giselle Bonilla, Kyle Massey, Mark Derwin
Inhumanity;120 min;NA;Action, Horror, Mystery;5.1;Joe McReynolds;Darcel Danielle, Diana Rose, Ford Austin, Leviticus Wolfe
Celeste;105 min;NA;Drama, Music;8.2;Ben Hackworth;Radha Mitchell, Thomas Cocquerel, Nadine Garner, Odessa Young
Angelo;111 min;NA;Drama, History;5.6;Markus Schleinzer;Makita Samba, Alba Rohrwacher, Larisa Faber, Kenny Nzogang
Frank and Ava;110 min;NA;Biography, Drama, History;NA;Michael Oblowitz;Rico Simonini, Emily Elicia Low, Harry Dean Stanton, Lukas Haas
Mes provinciales;137 min;NA;Drama;6.2;Jean-Paul Civeyrac;Andranic Manet, Diane Rouxel, Jenna Thiam, Gonzague Van Bervesseles
Spider-Man 2: Another World;90 min;NA;Sci-Fi;NA;Joey Lever;Joey Lever, Mark Sears, Kevin Mangar, Suave Flava
Rust Creek;NA;R;Drama, Thriller;8.5;Jen McGowan;Hermione Corfield, Denise Dal Vera, Jeremy Glazer, Laura Guzman
It Hungers;NA;NA;Horror;6.1;Rene Perez, David Vaughn;Stormi Maya, J.D. Angstadt, Brian Ackley, Karin Brauns
3 Storeys;100 min;NA;Drama;7.3;Arjun Mukerjee;Aisha Ahmed, Tarun Anand, Richa Chadha, Gopal Das
Scott and Sid;100 min;NA;Drama;7.4;Scott Elliott, Sid Sadowskyj;Tom Blyth, Richard Mason, David Summer, Llila Vis
We the Coyotes;87 min;NA;Drama;7.9;Marco La Via, Hanna Ladoul;Morgan Saylor, McCaul Lombardi, Betsy Brandt, Khleo Thomas
Schoolhouse;NA;NA;Horror, Thriller;4.2;Steven Perez;Scott Rosenfeld, Paige Hullett, Cameron Chester, Daniel Annone
Santa Fake;NA;NA;Family;NA;J.M. Burris;Judd Nelson, John Rhys-Davies, Jeff Fahey, Heather Morris
Pupille;112 min;NA;Drama;7.9;Jeanne Herry;Sandrine Kiberlain, Gilles Lellouche, Élodie Bouchez, Olivia Côte
Unintended;NA;NA;Drama, Thriller;NA;Anja Murmann;Elizabeth Lail, Hannah Westerfield, Nathan Keyes, Jay Jay Warren
Dev;NA;NA;Action, Thriller;NA;Rajath Ravishankar;Nikki Galrani, Karthi, Karthik, Vamsi Krishna
Ventilator;146 min;NA;Comedy, Drama;8.2;Umang Vyas;Jackie Shroff, Utkarsh Mazumdar, Pratik Gandhi, Sanjay Goradia
'He's Watching';NA;NA;Thriller;5.6;Steven Brand;Linsey Godfrey, Joseph C. Phillips, Tilky Jones, Darri Ingolfsson
Sarkari. Hi. Pra. Shale Kasaragodu, Koduge: Ramanna Rai;147 min;NA;Drama;8.7;Rishab Shetty;Anant Nag, Ramesh Bhat, Mahendra, Saptha Pavoor
After Darkness;98 min;R;Drama, Family, Sci-Fi;NA;Batan Silva;Natalia Dyer, Kyra Sedgwick, Tim Daly, Valorie Curry
Immortal;NA;NA;Thriller;NA;Tom Colley, Jon Dabach, Danny Isaacs, Rob Margolies;Tony Todd, Dylan Baker, Samm Levine, Robin Bartlett
Everybody's Talking About Jamie;160 min;NA;Drama, Musical;8.8;Jonathan Butterell;John McCrea, Josie Walker, Tamsin Carroll, Daniel Davids
Saint Judy;106 min;NA;Drama;6.8;Sean Hanish;Michelle Monaghan, Leem Lubany, Common, Alfred Molina
Painkillers;NA;NA;Drama;7.1;Roxy Shih;Naomi Grossman, Madeline Zima, Mischa Barton, Debra Wilson
We Are Unsatisfied;NA;NA;Comedy;NA;Matt Ratner;Billy Crystal, Ben Schwartz, Eloise Mumford, Grace Gummer
Stargate Origins: Catherine;104 min;NA;Adventure, History, Sci-Fi;5.0;Mercedes Bryce Morgan;Ellie Gall, Connor Trinneer, Aylam Orian, Philip Alexander
A Xiu Luo;141 min;NA;Action, Fantasy, Romance;3.3;Peng Zhang;Lei Wu, Tony Ka Fai Leung, Carina Lau, Yishang Zhang
Last Seen in Idaho;109 min;NA;Action, Crime, Thriller;5.8;Eric Colley;Hallie Shepherd, Casper Van Dien, Wes Ramsey, Shawn Christian
Evil Bong 777;59 min;NA;Action, Comedy, Horror;4.9;Charles Band;Sonny Carl Davis, Robin Sydney, Jessica Morris, Mindy Robinson
Zombie World 2;83 min;NA;Comedy, Horror;NA;Fernando González Gómez, Christopher G. Moore;Alena Koch
Abrahaminte Santhathikal;131 min;NA;Action, Crime, Thriller;8.0;Shaji Padoor;Mammootty, Anson Paul, Renji Panicker, Yog Japee
Craig Ross Jr.'s Monogamy;NA;NA;Drama;9.3;Craig Ross Jr.;Brian White, Chrystee Pharris, Geno Segers, Jill Marie Jones
Unexpected Race;NA;NA;Drama;3.8;Stephen Groo;James Alexander, Micah Dahl Anderson, Brandon Arnold, Stacylyn Bennett
Tiempo después;95 min;7;Comedy, Sci-Fi;7.0;José Luis Cuerda;Miguel Herrán, Blanca Suárez, Antonio de la Torre, Roberto Álamo
Mar Gaye Oye Loko;121 min;NA;Comedy, Drama, Fantasy;5.9;Simerjit Singh;Karamjit Anmol, Jaswinder Bhalla, Hobby Dhaliwal, Binnu Dhillon
Behind the Curtain of Night;NA;NA;Romance, Sci-Fi;NA;Dalibor Stach;Brendan Fraser, Dawn Olivieri, Marcia Cross, Petra Buckova
Vierges;90 min;NA;Drama;6.6;Keren Ben Rafael;Joy Rieger, Michael Aloni, Manuel Elkaslassy, Evgenia Dodina
Kurukshetra;NA;NA;History, War;9.6;Naganna;Darshan Thoogudeep, Ambareesh, V. Ravichandran, Arjun
All She Wrote;97 min;NA;Action, Comedy, Romance;6.9;Niki Iliev;Gary Dourdan, James Tumminia, Bashar Rahal, Niki Iliev
The Shoes;90 min;NA;Drama;NA;Ramsey Stoneburner;Cailee Spaeny, Erika Bierman, Deborah Tucker, Robert Pralgo
E-Demon;86 min;NA;Drama, Horror, Thriller;3.0;Jeremy Wechter;Julia Kelly, John Anthony Wylliams, Christopher Daftsios, Ryan Redebaugh
The Storyteller;90 min;NA;Drama, Family, Fantasy;7.7;Joe Crump;Kristina Wagner, Brooklyn Rae Silzer, Constance Towers, Eden Espinosa
Daas Dev;140 min;NA;Drama, Thriller;5.0;Sudhir Mishra;Rahul Bhat, Richa Chadha, Anil George, Aditi Rao Hydari
Shadow Fighter;99 min;NA;Drama;NA;Alyn Darnay;Steve Daron, Burt Reynolds, Omar Brunson, Cristina Figarola
Diamanti;NA;NA;Crime, Drama, Thriller;8.3;Genc Berisha;Armend Baloku, Besart Sllamniku, Muhamed Arifi, Dukagjin Podrimaj
Khrustal;95 min;NA;Drama;7.3;Darya Zhuk;Alina Nasibullina, Ivan Mulin, Yuriy Borisov, Svetlana Anikey
Paltan;150 min;NA;Action, Drama, History;5.8;J.P. Dutta;Jackie Shroff, Arjun Rampal, Sonu Sood, Gurmeet Choudhary
Paint It Red;81 min;NA;Comedy, Crime, Thriller;5.5;Paul T. Murray;Sally Kirkland, Khleo Thomas, Martin Kove, Kirby Bliss Blanton
Vacaciones con mamá;95 min;12;Comedy;6.0;Eloïse Lang;Miou-Miou, Camille Cottin, Camille Chamoux, Johan Heldenbergh
Deceived;92 min;NA;Horror, Thriller;NA;Carlos Jimenez Flores;Betsy Landin, Mike Falkow, David Paladino, Millie Ruperto
O Grande Circo Místico;105 min;NA;Drama;5.3;Carlos Diegues;Vincent Cassel, Antonio de la Cruz, Nuno Lopes, Mariana Ximenes
Taco Shop;85 min;PG-13;Comedy;4.6;Joaquin Perea;Tyler Posey, Rafael Agustin, Carlos Alazraqui, Dan Bakkedahl
Downward Twin;86 min;NA;Horror, Thriller;4.9;Buz Wallick;Karissa Strain, Katie Strain, Yves Bright, Angie Everhart
Alles ist gut;93 min;NA;Drama;7.1;Eva Trobisch;Aenne Schwarz, Andreas Döhler, Hans Löw, Tilo Nest
Kill the Czar;NA;NA;Thriller;NA;NA;James Franco, Amber Coney, Coral Amiga, Wilmer Calderon
Johny Johny Yes Appa;144 min;NA;Comedy;7.4;Marthandan;Geetha, Sanoop Santhosh, Kunchacko Boban, Lena
Gwen;88 min;NA;Drama, History, Horror;7.3;William McGregor;Maxine Peake, Richard Harrington, Mark Lewis Jones, Eleanor Worthington-Cox
The Island;134 min;NA;Comedy, Drama;6.4;Bo Huang;Bo Huang, Qi Shu, Baoqiang Wang, Yixing Zhang
Reborn;80 min;NA;Horror;5.2;Julian Richards;Bob Bancroft, Chaz Bono, Barbara Crampton, Kayleigh Gilbert
Mother Krampus 2: Slay Ride;96 min;NA;Horror;4.1;Eddie Lengyel;KateLynn E. Newberry, Tiffani Hilton, Robbie Barnes, Roger Conners
Vargur;NA;NA;Crime, Drama, Thriller;6.7;Börkur Sigþórsson;Anna Próchniak, Ingvar Eggert Sigurðsson, Marijana Jankovic, Gísli Örn Garðarsson
Capri-Revolution;122 min;NA;Drama, History;5.5;Mario Martone;Marianna Fontana, Reinout Scholten van Aschat, Antonio Folletto, Jenna Thiam
Planes with Brains;73 min;NA;Animation;4.6;Evan Tramel;Kj Schrock, Sarah Taylor
Pearl;82 min;NA;Drama;5.8;Elsa Amiel;Julia Föry, Peter Mullan, Vidal Arzoni, Arieh Worthalter
Badla;NA;NA;Thriller;NA;Sujoy Ghosh;Amitabh Bachchan, Tapsee Pannu, Abdul Quadir Amin, Antonio Aakeel
El desentierro;NA;16;Thriller;NA;Nacho Ruipérez;Michel Noher, Leonardo Sbaraglia, Jan Cornet, Jelena Jovanova
Horror Time;NA;NA;Horror;NA;Kyle Bahl, Alexander Birrell, Eugen Bräunig, Pablo Cevallos, Emma Hall-Martin, Lucas Lopez, Hayley Monek, Martin Murray, Michael Newton, Christina Reilly, Ben Venturina, Kerey Viswanathan;Sara Silva, Shawn Thomas Diefenbach, Alana Johnson, Kimberley Aria Peterson
A Son of Man;91 min;NA;Adventure, Drama, Family;7.8;Jamaicanoproblem, Pablo Agüero;Lily van Ghemen, Luis Felipe Fernández-Salvador y Bolona, Luis Felipe Fernandez-Salvador y Campodonico, Andrés Fernández-Salvador y Zaldumbide
The Executioners;93 min;R;Horror, Thriller;3.8;Giorgio Serafini;Jemma Dallender, Natalie Burn, Rachel Rosenstein, Anna Shields
Dead Ringer;NA;NA;Action;9.5;Richard Colton;Tom Sizemore, Luke White, Amar Adatia, Bai Ling
Ek Je Chhilo Raja;NA;NA;Drama;7.9;Srijit Mukherji;Jishu Sengupta, Jaya Ahsan, Anirban Bhattacharya, Barun Chanda
Miss Arizona;94 min;NA;Comedy, Drama;NA;Autumn McAlpin;Missi Pyle, Steve Guttenberg, Robyn Lively, Johanna Braddy
Compulsion;93 min;NA;Thriller;NA;Batan Silva;Sofía Sisniega, Andrés Almeida, Alejandra Gollas, Mauricio Isaac
Danur 2: Maddah;92 min;NA;Horror;5.9;Awi Suryadi;Prilly Latuconsina, Sandrinna Michelle, Shawn Adrian Khulafa, Sophia Latjuba
The Bygone;NA;NA;Drama;NA;Graham Phillips, Parker Phillips;Graham Phillips, Shawn Hatosy, Jacqueline Toboni, Irene Bedard
Marriage: Impossible;100 min;NA;Comedy, Drama;8.7;Noor Arnaoot;Beth Broderick, Brett Cullen, Alicia Dea, Nahed El Sebaï
Yowis Ben;99 min;NA;Comedy, Drama;9.3;Fajar Nugros, Bayu Skak;Bayu Skak, Cut Meyriska, Brandon Salim, Joshua Suherman
Baco Becce;87 min;NA;Comedy;8.8;Syahrir Arsyad Dini;Mimi Peri, Syukri Algazali, Mamak Ramlah, Cuke Lelaki Tamvang
Io;NA;NA;Sci-Fi;NA;Jonathan Helpert;Margaret Qualley, Anthony Mackie, Danny Huston
Benjamin;NA;NA;Comedy, Drama;NA;Bob Saget;Bob Saget, Rob Corddry, Mary Lynn Rajskub, Cheri Oteri
Disclosure;NA;NA;Drama;NA;Michael Bentham;Geraldine Hakewill, Mark Leonard Winter, Matilda Ridgway, Tom Wren
Redrum;NA;NA;Thriller;4.8;Dhruv, Sourabh;Vibhav Roy, Saeeda Imtiaz, Tom Alter, Darryl Knight
Les chatouilles;103 min;NA;Drama;5.4;Andréa Bescond, Eric Métayer;Andréa Bescond, Karin Viard, Clovis Cornillac, Pierre Deladonchamps
The Steam Engines of Oz;79 min;NA;Animation;4.2;Sean Patrick O'Reilly;Matthew Kevin Anderson, Ashleigh Ball, Elijah Dhavvan, Geoff Gustafson
Linhas de Sangue;132 min;NA;Action, Comedy, Thriller;3.9;Sérgio Graciano, Manuel Pureza;Samuel Alves, Tomás Alves, Álvaro Aragonez, Kelly Bailey
Super Monsters Save Halloween;24 min;NA;Animation, Family;5.2;NA;Elyse Maloway, Erin Matthews, Vincent Tong
On Pointe;98 min;NA;Drama;9.1;Tati Vogt;Michelle Y. Allen, Asher Angel, Jack Beckham, Walter Belcher
Loudon Wainwright III: Surviving Twin;NA;NA;NA;NA;NA;Loudon Wainwright III
Mistrust;90 min;NA;Drama, Romance;6.4;Shane Stanley;Jane Seymour, Nia Peeples, Parker Stevenson, Ian Ogilvy
Braid;82 min;NA;Horror, Mystery, Thriller;6.3;Mitzi Peirone;Madeline Brewer, Scott Cohen, Sarah Hay, Imogen Waterhouse
Inferno by Dante;111 min;NA;Adventure, Drama, Family;NA;Boris Acosta;Eric Roberts, Vittorio Gassman, Jeff Conaway, Franco Nero
Volontaire;101 min;NA;Drama;5.9;Hélène Fillières;Diane Rouxel, Lambert Wilson, Corentin Fila, Alex Descas
Harajuku;NA;NA;Drama;NA;Eirik Svensson;Ines Høysæter Asserson, Nicolai Cleve Broch, Ingrid Olava, André Sørum
Elvy's Wereld So Ibiza!;80 min;NA;Adventure, Comedy, Drama;6.4;Erwin van den Eshof;Bibi, Kelvin Boerma, Djamila, May Hollerman
Tik Tik Tik;130 min;NA;Action, Adventure, Sci-Fi;6.5;Shakti Soundar Rajan;Nivetha Pethuraj, Jayam Ravi, V. Jayaprakash, Ramesh Thilak
Au bout des doigts;NA;NA;Comedy;7.2;Ludovic Bernard;Kristin Scott Thomas, Lambert Wilson, Karidja Touré, Jules Benchetrit
Monsoon;NA;NA;Drama;NA;Hong Khaou;Henry Golding, Parker Sawyers, Nguyen Myan, Lamou Vissay
Viaje al cuarto de una madre;90 min;A;Drama;7.1;Celia Rico Clavellino;Anna Castillo, Lola Dueñas, Pedro Casablanc, Adelfa Calvo
Battalion;94 min;NA;Sci-Fi;2.3;Michael Miller;Jesse Richardson, Ellen Williams, Michael Thomson, James Storer
Denmark;NA;NA;Comedy;NA;Adrian Shergold;Rafe Spall, Joel Fry, Steve Speirs, Thomas W. Gabrielsson
Nessuno come noi;100 min;NA;Comedy;5.1;Volfango De Biasi;Alessandro Preziosi, Sarah Felberbaum, Lorenza Veronica, Davide Campagna
The Fox Hunter;NA;NA;Comedy;NA;Patrick Shanahan;Beth Broderick, Madison Iseman, Brooke Butler, Olivia Grace Applegate
Portal;NA;NA;Horror;NA;Dean Alioto;Ryan Merriman, Jamie Tisdale, Myk Watford, Heather Langenkamp
Keys to the Heart;120 min;NA;Comedy, Drama, Family;7.4;Sung-Hyun Choi;Byung-Hun Lee, Jung-min Park, Yuh-Jung Youn, Ji-min Han
Ink & Rain;81 min;NA;Action, Drama, Fantasy;NA;Dallas King;Tamra Dae, Julia Fae, Mariam Saraj, Elisha Kriis
Bachelor Lions;NA;NA;Comedy;6.9;Paul Bunch;Kristoffer Polaha, David Arquette, Robert Davi, James Maslow
Eres perfecta;NA;NA;Comedy, Drama, Romance;NA;David Jackson;Caitlin Thompson, James Henri-Thomas, Robbie Silverman, Rachel-Mae Brady
Amatörer;102 min;NA;Comedy;6.5;Gabriela Pichler;Zahraa Aldoujaili, Yara Aliadotter, Fredrik Dahl, Shada Ismaeel
Detective Conan: El caso Cero;115 min;A;Animation, Action, Adventure;6.2;Yuzuru Tachikawa;Tôru Furuya, Megumi Hayashibara, Rikiya Koyama, Ken'ichi Ogata
The Revenger: An Unromantic Comedy;NA;NA;Comedy;NA;Mark Murphy;Rachel Hurd-Wood, Ed Speleers, Anna Chancellor, Samantha Barks
Pettersson und Findus - Findus zieht um;NA;NA;Family;5.1;Ali Samadi Ahadi;Marianne Sägebrecht, Stefan Kurt, Max Herbrechter
Bloody Hands;NA;NA;Action, Crime;NA;Jaden Hwang;Orlando Brown, Natasha Behnam, Glen Eaton, Klement Tinaj
Neerali;128 min;NA;Action, Adventure, Drama;6.6;Ajoy Varma;Mohanlal, Suraaj Venjarammoodu, Parvathy Nair, Nadia Moidu
Kung Fu League;102 min;NA;Action;8.5;Jeffrey Lau;Ashin, Kwok-Kwan Chan, Madina Memet, Andy On
Defining Moments;NA;NA;Comedy;NA;Stephen Wallis;Burt Reynolds, Sienna Guillory, Tammy Blanchard, Eric Peterson
A Bluebird in My Heart;85 min;NA;Drama;5.9;Jérémie Guez;Lubna Azabal, Veerle Baetens, Lola Le Lann, Roland Møller
An L.A. Minute;86 min;R;Comedy;5.2;Daniel Adams;Kiersey Clemons, Gabriel Byrne, Bob Balaban, William Mark McCullough
O Caderno Negro;113 min;NA;Drama, History, Romance;5.0;Valeria Sarmiento;Lou de Laâge, Stanislas Merhar, Niels Schneider, Jenna Thiam
A.R.C.H.I.E. 2;82 min;PG;Family;4.8;Robin Dunne;Farrah Aviva, Sheldon Bergstrom, Sara Canning, Robin Dunne
Jenseits des Spiegels;89 min;NA;Mystery;5.7;Nils Loof;Julia Hartmann, Bernhard Piesk, Oskar von Schönfels, Petra Kelling
Sibel;95 min;NA;Drama;7.4;Guillaume Giovanetti, Çagla Zencirci;Damla Sönmez, Erkan Kolçak Köstendil, Emin Gürsoy, Elit Iscan
